,日付コード,日付,支出
0,2015000101,2015年1月,"11,599"
1,2015000202,2015年2月,"10,397"
2,2015000303,2015年3月,"10,802"
3,2015000404,2015年4月,"10,238"
4,2015000505,2015年5月,"10,602"
5,2015000606,2015年6月,"11,586"
6,2015000707,2015年7月,"11,241"
7,2015000808,2015年8月,"11,962"
8,2015000909,2015年9月,"9,788"
9,2015001010,2015年10月,"9,807"
10,2015001111,2015年11月,"9,988"
11,2015001212,2015年12月,"10,821"
12,2016000101,2016年1月,"9,646"
13,2016000202,2016年2月,"9,900"
14,2016000303,2016年3月,"10,375"
15,2016000404,2016年4月,"9,823"
16,2016000505,2016年5月,"10,486"
17,2016000606,2016年6月,"10,849"
18,2016000707,2016年7月,"11,309"
19,2016000808,2016年8月,"11,516"
20,2016000909,2016年9月,"9,989"
21,2016001010,2016年10月,"10,367"
22,2016001111,2016年11月,"10,378"
23,2016001212,2016年12月,"12,843"
24,2017000101,2017年1月,"13,714"
25,2017000202,2017年2月,"12,384"
26,2017000303,2017年3月,"13,873"
27,2017000404,2017年4月,"11,985"
28,2017000505,2017年5月,"12,711"
29,2017000606,2017年6月,"12,391"
30,2017000707,2017年7月,"13,517"
31,2017000808,2017年8月,"14,889"
32,2017000909,2017年9月,"12,343"
33,2017001010,2017年10月,"12,833"
34,2017001111,2017年11月,"13,436"
35,2017001212,2017年12月,"15,354"
36,2018000101,2018年1月,"13,098"
37,2018000202,2018年2月,"11,997"
38,2018000303,2018年3月,"14,228"
39,2018000404,2018年4月,"13,942"
40,2018000505,2018年5月,"14,564"
41,2018000606,2018年6月,"14,765"
42,2018000707,2018年7月,"15,805"
43,2018000808,2018年8月,"16,842"
44,2018000909,2018年9月,"15,189"
45,2018001010,2018年10月,"15,359"
46,2018001111,2018年11月,"15,761"
47,2018001212,2018年12月,"19,281"
48,2019000101,2019年1月,"15,655"
49,2019000202,2019年2月,"15,038"
50,2019000303,2019年3月,"16,312"
51,2019000404,2019年4月,"17,083"
52,2019000505,2019年5月,"15,933"
53,2019000606,2019年6月,"17,371"
54,2019000707,2019年7月,"17,132"
55,2019000808,2019年8月,"18,279"
56,2019000909,2019年9月,"18,545"
57,2019001010,2019年10月,"15,349"
58,2019001111,2019年11月,"16,488"
59,2019001212,2019年12月,"19,739"
60,2020000101,2020年1月,"17,313"
61,2020000202,2020年2月,"15,775"
62,2020000303,2020年3月,"15,916"
63,2020000404,2020年4月,"17,758"
64,2020000505,2020年5月,"19,479"
65,2020000606,2020年6月,"20,456"
66,2020000707,2020年7月,"19,447"
67,2020000808,2020年8月,"20,334"
68,2020000909,2020年9月,"19,675"
69,2020001010,2020年10月,"21,714"
70,2020001111,2020年11月,"22,493"
71,2020001212,2020年12月,"23,907"
72,2021000101,2021年1月,"20,795"
73,2021000202,2021年2月,"19,111"
74,2021000303,2021年3月,"21,826"
75,2021000404,2021年4月,"21,841"
76,2021000505,2021年5月,"21,010"
77,2021000606,2021年6月,"21,581"
78,2021000707,2021年7月,"21,105"
79,2021000808,2021年8月,"20,838"
80,2021000909,2021年9月,"22,152"
81,2021001010,2021年10月,"23,627"
82,2021001111,2021年11月,"25,510"
83,2021001212,2021年12月,"29,148"
84,2022000101,2022年1月,"24,390"
85,2022000202,2022年2月,"21,347"
86,2022000303,2022年3月,"24,287"
87,2022000404,2022年4月,"24,255"
88,2022000505,2022年5月,"24,563"
89,2022000606,2022年6月,"24,578"
90,2022000707,2022年7月,"26,643"
91,2022000808,2022年8月,"26,102"
92,2022000909,2022年9月,"24,589"
93,2022001010,2022年10月,"24,797"
94,2022001111,2022年11月,"27,057"
95,2022001212,2022年12月,"29,865"
96,2023000101,2023年1月,"26,056"
97,2023000202,2023年2月,"25,697"
98,2023000303,2023年3月,"27,609"
99,2023000404,2023年4月,"27,006"
100,2023000505,2023年5月,"27,586"
101,2023000606,2023年6月,"27,533"
102,2023000707,2023年7月,"29,395"
103,2023000808,2023年8月,"29,398"
