,日付コード,日付,支出,POSIX,year,month
0,2017000101,2017-01-01,3931,1483228800,2017,1
1,2017000202,2017-02-01,3175,1485907200,2017,2
2,2017000303,2017-03-01,5085,1488326400,2017,3
3,2017000404,2017-04-01,3377,1491004800,2017,4
4,2017000505,2017-05-01,3795,1493596800,2017,5
5,2017000606,2017-06-01,3278,1496275200,2017,6
6,2017000707,2017-07-01,4997,1498867200,2017,7
7,2017000808,2017-08-01,7013,1501545600,2017,8
8,2017000909,2017-09-01,3616,1504224000,2017,9
9,2017001010,2017-10-01,3431,1506816000,2017,10
10,2017001111,2017-11-01,3731,1509494400,2017,11
11,2017001212,2017-12-01,4108,1512086400,2017,12
12,2018000101,2018-01-01,2876,1514764800,2018,1
13,2018000202,2018-02-01,2738,1517443200,2018,2
14,2018000303,2018-03-01,4683,1519862400,2018,3
15,2018000404,2018-04-01,3460,1522540800,2018,4
16,2018000505,2018-05-01,4508,1525132800,2018,5
17,2018000606,2018-06-01,4550,1527811200,2018,6
18,2018000707,2018-07-01,4833,1530403200,2018,7
19,2018000808,2018-08-01,7762,1533081600,2018,8
20,2018000909,2018-09-01,4627,1535760000,2018,9
21,2018001010,2018-10-01,3547,1538352000,2018,10
22,2018001111,2018-11-01,3563,1541030400,2018,11
23,2018001212,2018-12-01,5543,1543622400,2018,12
24,2019000101,2019-01-01,3552,1546300800,2019,1
25,2019000202,2019-02-01,4223,1548979200,2019,2
26,2019000303,2019-03-01,4729,1551398400,2019,3
27,2019000404,2019-04-01,5830,1554076800,2019,4
28,2019000505,2019-05-01,4341,1556668800,2019,5
29,2019000606,2019-06-01,5086,1559347200,2019,6
30,2019000707,2019-07-01,6352,1561939200,2019,7
31,2019000808,2019-08-01,8046,1564617600,2019,8
32,2019000909,2019-09-01,5536,1567296000,2019,9
33,2019001010,2019-10-01,4264,1569888000,2019,10
34,2019001111,2019-11-01,3777,1572566400,2019,11
35,2019001212,2019-12-01,4915,1575158400,2019,12
36,2020000101,2020-01-01,4297,1577836800,2020,1
37,2020000202,2020-02-01,4080,1580515200,2020,2
38,2020000303,2020-03-01,1973,1583020800,2020,3
39,2020000404,2020-04-01,773,1585699200,2020,4
40,2020000505,2020-05-01,301,1588291200,2020,5
41,2020000606,2020-06-01,1704,1590969600,2020,6
42,2020000707,2020-07-01,2114,1593561600,2020,7
43,2020000808,2020-08-01,3231,1596240000,2020,8
44,2020000909,2020-09-01,2666,1598918400,2020,9
45,2020001010,2020-10-01,3477,1601510400,2020,10
46,2020001111,2020-11-01,3219,1604188800,2020,11
47,2020001212,2020-12-01,1908,1606780800,2020,12
48,2021000101,2021-01-01,898,1609459200,2021,1
49,2021000202,2021-02-01,1007,1612137600,2021,2
50,2021000303,2021-03-01,2548,1614556800,2021,3
51,2021000404,2021-04-01,2113,1617235200,2021,4
52,2021000505,2021-05-01,1882,1619827200,2021,5
53,2021000606,2021-06-01,1941,1622505600,2021,6
54,2021000707,2021-07-01,2412,1625097600,2021,7
55,2021000808,2021-08-01,2766,1627776000,2021,8
56,2021000909,2021-09-01,2496,1630454400,2021,9
57,2021001010,2021-10-01,3457,1633046400,2021,10
58,2021001111,2021-11-01,4421,1635724800,2021,11
59,2021001212,2021-12-01,4210,1638316800,2021,12
60,2022000101,2022-01-01,3072,1640995200,2022,1
61,2022000202,2022-02-01,2790,1643673600,2022,2
62,2022000303,2022-03-01,3835,1646092800,2022,3
63,2022000404,2022-04-01,4198,1648771200,2022,4
64,2022000505,2022-05-01,5195,1651363200,2022,5
65,2022000606,2022-06-01,5059,1654041600,2022,6
66,2022000707,2022-07-01,6098,1656633600,2022,7
67,2022000808,2022-08-01,7478,1659312000,2022,8
68,2022000909,2022-09-01,4990,1661990400,2022,9
69,2022001010,2022-10-01,5223,1664582400,2022,10
70,2022001111,2022-11-01,5534,1667260800,2022,11
71,2022001212,2022-12-01,5882,1669852800,2022,12
72,2023000101,2023-01-01,5066,1672531200,2023,1
73,2023000202,2023-02-01,6465,1675209600,2023,2
74,2023000303,2023-03-01,6046,1677628800,2023,3
75,2023000404,2023-04-01,6685,1680307200,2023,4
76,2023000505,2023-05-01,7061,1682899200,2023,5
77,2023000606,2023-06-01,7168,1685577600,2023,6
78,2023000707,2023-07-01,9309,1688169600,2023,7
79,2023000808,2023-08-01,10685,1690848000,2023,8
